id,type,category,variant,path,state,district
DOC0001,1,clean,clean,Type_01/clean/01_clean_001.pdf,Jharkhand,Garhwa
DOC0002,1,clean,clean,Type_01/clean/01_clean_002.pdf,Odisha,Jharsuguda
DOC0003,1,clean,clean,Type_01/clean/01_clean_003.pdf,Chhattisgarh,Jashpur
DOC0004,1,clean,clean,Type_01/clean/01_clean_004.pdf,Madhya Pradesh,Gwalior
DOC0005,1,clean,clean,Type_01/clean/01_clean_005.pdf,Maharashtra,Akola
DOC0006,1,clean,clean,Type_01/clean/01_clean_006.pdf,Rajasthan,Alwar
DOC0007,1,clean,clean,Type_01/clean/01_clean_007.pdf,Gujarat,Kachchh
DOC0008,1,clean,clean,Type_01/clean/01_clean_008.pdf,West Bengal,Jalpaiguri
DOC0009,1,clean,clean,Type_01/clean/01_clean_009.pdf,Assam,Goalpara
DOC0010,1,clean,clean,Type_01/clean/01_clean_010.pdf,Arunachal Pradesh,Papum Pare
DOC0011,1,clean,clean,Type_01/clean/01_clean_011.pdf,Manipur,Thoubal
DOC0012,1,clean,clean,Type_01/clean/01_clean_012.pdf,Tripura,North Tripura
DOC0013,1,clean,clean,Type_01/clean/01_clean_013.pdf,Jharkhand,Garhwa
DOC0014,1,clean,clean,Type_01/clean/01_clean_014.pdf,Odisha,Jharsuguda
DOC0015,1,clean,clean,Type_01/clean/01_clean_015.pdf,Chhattisgarh,Jashpur
DOC0016,1,clean,clean,Type_01/clean/01_clean_016.pdf,Madhya Pradesh,Gwalior
DOC0017,1,clean,clean,Type_01/clean/01_clean_017.pdf,Maharashtra,Akola
DOC0018,1,clean,clean,Type_01/clean/01_clean_018.pdf,Rajasthan,Alwar
DOC0019,1,clean,clean,Type_01/clean/01_clean_019.pdf,Gujarat,Kachchh
DOC0020,1,clean,clean,Type_01/clean/01_clean_020.pdf,West Bengal,Jalpaiguri
DOC0021,1,clean,clean,Type_01/clean/01_clean_021.pdf,Assam,Goalpara
DOC0022,1,clean,clean,Type_01/clean/01_clean_022.pdf,Arunachal Pradesh,Papum Pare
DOC0023,1,clean,clean,Type_01/clean/01_clean_023.pdf,Manipur,Thoubal
DOC0024,1,clean,clean,Type_01/clean/01_clean_024.pdf,Tripura,North Tripura
DOC0025,1,clean,clean,Type_01/clean/01_clean_025.pdf,Jharkhand,Garhwa
DOC0026,1,clean,clean,Type_01/clean/01_clean_026.pdf,Odisha,Jharsuguda
DOC0027,1,clean,clean,Type_01/clean/01_clean_027.pdf,Chhattisgarh,Jashpur
DOC0028,1,clean,clean,Type_01/clean/01_clean_028.pdf,Madhya Pradesh,Gwalior
DOC0029,1,clean,clean,Type_01/clean/01_clean_029.pdf,Maharashtra,Akola
DOC0030,1,clean,clean,Type_01/clean/01_clean_030.pdf,Rajasthan,Alwar
DOC0031,1,clean,clean,Type_01/clean/01_clean_031.pdf,Gujarat,Kachchh
DOC0032,1,clean,clean,Type_01/clean/01_clean_032.pdf,West Bengal,Jalpaiguri
DOC0033,1,clean,clean,Type_01/clean/01_clean_033.pdf,Assam,Goalpara
DOC0034,1,clean,clean,Type_01/clean/01_clean_034.pdf,Arunachal Pradesh,Papum Pare
DOC0035,1,clean,clean,Type_01/clean/01_clean_035.pdf,Manipur,Thoubal
DOC0036,1,clean,clean,Type_01/clean/01_clean_036.pdf,Tripura,North Tripura
DOC0037,1,clean,clean,Type_01/clean/01_clean_037.pdf,Jharkhand,Garhwa
